Performing LOO X-val on indices [10058,619,8495,7925,1702,12186,8261,10351,1490,1698,3412,6798,11406,10390,755,5982,7463,8811,12511,12599,10858,8475,9509,4428,10624,9475,989,11439,8524,3119,1599,4102,11468,3158,3962,11686,4370,10895,9276,108,4889,6080,8245,1451,7604,6078,3137,4827,4166,10611,4606,4902,8173,5899,2152,5107,4727,993,5389,834,3142,9120,5638,10220,11377,8875,3771,7019,9065,11479,7737,6739,9068,5832,577,4035,1996,8637,4697,9478,909,2921,6258,2390,8051,3764,6544,7231,10562,8770,5481,8887,4927,3602,5238,12591,10062,11660,10201,4114]
ID_10059	Anoxybacillus -> Paenibacillus (-282825)
ID_620	Staphylococcus -> Staphylococcus (-6939)
ID_8496	Staphylococcus -> Staphylococcus (-8762)
ID_7926	Moraxella -> Moraxella (-8148)
ID_1703	Staphylococcus -> Staphylococcus (-17378)
ID_12187	Prauseria -> Prauseria (-22836)
ID_8262	Streptococcus -> Streptococcus (-28934)
ID_10352	Staphylococcus -> Staphylococcus (-8921)
ID_1491	Staphylococcus -> Staphylococcus (-16594)
ID_1699	Staphylococcus -> Staphylococcus (-11714)
ID_3413	Prevotella -> Prevotella (-111369)
ID_6799	Bacteroides -> Bacteroides (-74220)
ID_11407	Mycobacterium -> Saccharomonospora (-352000)
ID_10391	Streptococcus -> Streptococcus (-30064)
ID_756	Gemella -> Gemella (-27947)
ID_5983	Faecalibacterium -> Faecalibacterium (-54904)
ID_7464	Sporosarcina -> Sporosarcina (-110824)
ID_8812	Salinibacterium -> Frigoribacterium (-64977)
ID_12512	Bacteroides -> Bacteroides (-54753)
ID_12600	Enterococcus -> Lactobacillus (-175917)
ID_10859	Flavobacterium -> Flavobacterium (-81888)
ID_8476	Streptococcus -> Streptococcus (-26141)
ID_9510	Staphylococcus -> Staphylococcus (-9339)
ID_4429	Corynebacterium -> Corynebacterium (-23209)
ID_10625	Staphylococcus -> Staphylococcus (-9709)
ID_9476	Bacteroides -> Bacteroides (-66318)
ID_990	Staphylococcus -> Staphylococcus (-9354)
ID_11440	Veillonella -> Veillonella (-45973)
ID_8525	Porphyromonas -> Porphyromonas (-42925)
ID_3120	Campylobacter -> Campylobacter (-89268)
ID_1600	Streptococcus -> Streptococcus (-20772)
ID_4103	Sphingomonas -> Sphingomonas (-94106)
ID_11469	Prevotella -> Prevotella (-65673)
ID_3159	Lactobacillus -> Lactobacillus (-70098)
ID_3963	Anaerococcus -> Anaerococcus (-57655)
ID_11687	Anoxybacillus -> Anoxybacillus (-105967)
ID_4371	Corynebacterium -> Corynebacterium (-23907)
ID_10896	Stenotrophomonas -> Stenotrophomonas (-51250)
ID_9277	Pseudomonas -> Pseudomonas (-65550)
ID_109	Methanosaeta -> Methanosaeta (-86731)
ID_4890	Coprothermobacter -> Coprothermobacter (-19018)
ID_6081	Akkermansia -> Akkermansia (-23785)
ID_8246	Microbacterium -> Actinoallomurus (-505888)
ID_1452	Moraxella -> Moraxella (-8148)
ID_7605	Bacteroides -> Bacteroides (-76395)
ID_6079	Ruminococcus -> Oscillospira (-301033)
ID_3138	Desulfurispora -> Pelotomaculum (-349249)
ID_4828	Oscillospira -> Oscillospira (-127160)
ID_4167	Cloacibacterium -> Cloacibacterium (-18638)
ID_10612	Streptococcus -> Streptococcus (-49323)
ID_4607	Staphylococcus -> Staphylococcus (-18891)
ID_4903	Pseudomonas -> Pseudomonas (-57172)
ID_8174	Anaerococcus -> Anaerococcus (-46472)
ID_5900	Paenibacillus -> Paenibacillus (-147168)
ID_2153	Staphylococcus -> Staphylococcus (-13710)
ID_5108	Arthrobacter -> Arthrobacter (-56869)
ID_4728	Blautia -> Blautia (-91827)
ID_994	Propionibacterium -> Propionibacterium (-23258)
ID_5390	Pseudomonas -> Pseudomonas (-66272)
ID_835	Kocuria -> Kocuria (-40959)
ID_3143	Mogibacterium -> Mogibacterium (-63831)
